speciesname_original;modified;speciesname_corrected;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;;;;;;;;;;;;;;;;;;;;;
Planktothrix agardhii;;Planktothrix agardhii;146552;exact;urn:lsid:marinespecies.org:taxname:146552;189421;Planktothrix agardhii;(Gomont) Anagnostidis & Komárek, 1988;Checked by Taxonomic Editor;accepted;146552;Planktothrix agardhii;(Gomont) Anagnostidis & Komárek, 1988;Bacteria;Cyanobacteria;Cyanophyceae;Oscillatoriales;Phormidiaceae;Planktothrix;;agardhii;;0;0;1;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Planktothrix agardhii (Gomont) Anagnostidis & Komárek, 1988. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=146552 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Protomonadales;x;Bodonaceae;536197;exact;urn:lsid:marinespecies.org:taxname:536197;;Bodonaceae;Bütschli, 1884;Checked by Taxonomic Editor;accepted;536197;Bodonaceae;Bütschli, 1884;Protozoa;Euglenozoa;Kinetoplastea;Eubodonida;Bodonaceae;;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Bodonaceae Bütschli, 1884. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=536197 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Surirella;;Surirella;149084;exact;urn:lsid:marinespecies.org:taxname:149084;5331;Surirella;P.J.F. Turpin, 1828;Checked by Taxonomic Editor;accepted;149084;Surirella;P.J.F. Turpin, 1828;Chromista;Ochrophyta;Bacillariophyceae;Surirellales;Surirellaceae;Surirella;;;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Surirella P.J.F. Turpin, 1828. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149084 on 2019-01-31;;
Thalassiosira;;Thalassiosira;148912;exact;urn:lsid:marinespecies.org:taxname:148912;2484;Thalassiosira;P.T. Cleve, 1873 emend. Hasle, 1973;Checked by Taxonomic Editor;accepted;148912;Thalassiosira;P.T. Cleve, 1873 emend. Hasle, 1973;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;;;1;1;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira P.T. Cleve, 1873 emend. Hasle, 1973. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148912 on 2019-01-31;;
Chrysochromulina;;Chrysochromulina;115090;exact;urn:lsid:marinespecies.org:taxname:115090;2160;Chrysochromulina;Lackey, 1939;Checked by Taxonomic Editor;accepted;115090;Chrysochromulina;Lackey, 1939;Chromista;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Chrysochromulina Lackey, 1939. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115090 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cryptomonadales;;Cryptomonadales;17640;exact;urn:lsid:marinespecies.org:taxname:17640;10599;Cryptomonadales;Pringsheim, 1944;Checked by Taxonomic Editor;accepted;17640;Cryptomonadales;Pringsheim, 1944;Chromista;Cryptophyta;Cryptophyceae;Cryptomonadales;;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptomonadales. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=17640 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Chaetoceros debilis;;Chaetoceros debilis;149219;exact;urn:lsid:marinespecies.org:taxname:149219;2790;Chaetoceros debilis;Cleve, 1894;Edited by Database Management Team;uncertain;149219;Chaetoceros debilis;Cleve, 1894;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;debilis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros debilis Cleve, 1894. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149219 on 2019-01-31;;
Chaetoceros;;Chaetoceros;148985;exact;urn:lsid:marinespecies.org:taxname:148985;2758;Chaetoceros;C.G. Ehrenberg, 1844;Checked by Taxonomic Editor;accepted;148985;Chaetoceros;C.G. Ehrenberg, 1844;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;;;1;1;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros C.G. Ehrenberg, 1844. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148985 on 2019-01-31;;
Cylindrotheca closterium;;Cylindrotheca closterium;149004;exact;urn:lsid:marinespecies.org:taxname:149004;5318;Cylindrotheca closterium;(Ehrenberg) Reimann & J.C.Lewin, 1964;Edited by Database Management Team;accepted;149004;Cylindrotheca closterium;(Ehrenberg) Reimann & J.C.Lewin, 1964;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;;closterium;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Cylindrotheca closterium (Ehrenberg) Reimann & J.C.Lewin, 1964. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149004 on 2019-01-31;;
Cylindrotheca gracilis;;Cylindrotheca gracilis;149570;exact;urn:lsid:marinespecies.org:taxname:149570;615881;Cylindrotheca gracilis;(Brébisson ex Kützing) Grunow, 1882;Edited by Database Management Team;uncertain;149570;Cylindrotheca gracilis;(Brébisson ex Kützing) Grunow, 1882;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;;gracilis;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Cylindrotheca gracilis (Brébisson ex Kützing) Grunow, 1882. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149570 on 2019-01-31;;
Ebria tripartita;;Ebria tripartita;118051;exact;urn:lsid:marinespecies.org:taxname:118051;1814;Ebria tripartita;(J.Schumann) Lemmermann, 1899;Checked by Taxonomic Editor;accepted;118051;Ebria tripartita;(J.Schumann) Lemmermann, 1899;Protozoa;;Ebriophyceae;Ebriales;Ebriaceae;Ebria;;tripartita;;1;1;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ebria tripartita (J.Schumann) Lemmermann, 1899. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=118051 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Eutreptiella;;Eutreptiella;17657;exact;urn:lsid:marinespecies.org:taxname:17657;9609;Eutreptiella;A.da Cunha, 1914;Checked by Taxonomic Editor;accepted;17657;Eutreptiella;A.da Cunha, 1914;Protozoa;Euglenozoa;Euglenoidea;Eutreptiida;Eutreptiaceae;Eutreptiella;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Eutreptiella A.da Cunha, 1914. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=17657 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Eunotogramma dubium;;Eunotogramma dubium;345464;exact;urn:lsid:marinespecies.org:taxname:345464;;Eunotogramma dubium;Hustedt, 1939;Edited by Database Management Team;uncertain;345464;Eunotogramma dubium;Hustedt, 1939;Chromista;Ochrophyta;Bacillariophyceae;Anaulales;Anaulaceae;Eunotogramma;;dubium;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Eunotogramma dubium Hustedt, 1939. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=345464 on 2019-01-31;;
Gonyaulax spinifera;;Gonyaulax spinifera;110041;exact;urn:lsid:marinespecies.org:taxname:110041;10361;Gonyaulax spinifera;(Claparède & Lachmann) Diesing, 1866;Checked by Taxonomic Editor;accepted;110041;Gonyaulax spinifera;(Claparède & Lachmann) Diesing, 1866;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;;spinifera;;1;1;1;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gonyaulax spinifera (Claparède & Lachmann) Diesing, 1866. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110041 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Gyrosigma fasciola;;Gyrosigma fasciola;149494;exact;urn:lsid:marinespecies.org:taxname:149494;4624;Gyrosigma fasciola;(Ehrenberg) J.W.Griffith & Henfrey, 1856;Edited by Database Management Team;alternate representation;172535;Ceratoneis fasciola;Ehrenberg, 1839;Chromista;Ochrophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Gyrosigma;;fasciola;;1;0;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Gyrosigma fasciola (Ehrenberg) J.W.Griffith & Henfrey, 1856. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149494 on 2019-01-31;;
Melosira nummuloides;;Melosira nummuloides;149044;exact;urn:lsid:marinespecies.org:taxname:149044;2294;Melosira nummuloides;C.Agardh, 1824;Edited by Database Management Team;alternate representation;635472;Melosira discigera;Agardh, 1824;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;nummuloides;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Melosira nummuloides C.Agardh, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149044 on 2019-01-31;;
Monoraphidium;;Monoraphidium;160590;exact;urn:lsid:marinespecies.org:taxname:160590;5990;Monoraphidium;Komárková-Legnerová, 1969;Checked by Taxonomic Editor;accepted;160590;Monoraphidium;Komárková-Legnerová, 1969;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Monoraphidium;;;;;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Monoraphidium Komárková-Legnerová, 1969. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160590 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Nitzschia coarctata;;Nitzschia coarctata;176410;exact;urn:lsid:marinespecies.org:taxname:176410;;Nitzschia coarctata;Grunow, 1880;Edited by Database Management Team;uncertain;176410;Nitzschia coarctata;Grunow, 1880;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;;coarctata;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Nitzschia coarctata Grunow, 1880. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=176410 on 2019-01-31;;
Oblea rotunda;;Oblea rotunda;110155;exact;urn:lsid:marinespecies.org:taxname:110155;10194;Oblea rotunda;(Lebour) Balech ex Sournia, 1973;Checked by Taxonomic Editor;accepted;110155;Oblea rotunda;(Lebour) Balech ex Sournia, 1973;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Oblea;;rotunda;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Oblea rotunda (Lebour) Balech ex Sournia, 1973. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110155 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Phaeocystis;;Phaeocystis;115088;exact;urn:lsid:marinespecies.org:taxname:115088;2172;Phaeocystis;Lagerheim, 1893;Checked by Taxonomic Editor;accepted;115088;Phaeocystis;Lagerheim, 1893;Chromista;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Phaeocystis Lagerheim, 1893. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115088 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Plagiogrammopsis vanheurckii;;Plagiogrammopsis vanheurckii;149057;exact;urn:lsid:marinespecies.org:taxname:149057;;Plagiogrammopsis vanheurckii;(Grunow) Hasle, von Stosch & Syvertsen, 1983;Edited by Database Management Team;alternate representation;149352;Plagiogramma vanheurckii;Grunow, 1881;Chromista;Ochrophyta;Bacillariophyceae;Cymatosirales;Cymatosiraceae;Plagiogrammopsis;;vanheurckii;;1;;;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Plagiogrammopsis vanheurckii (Grunow) Hasle, von Stosch & Syvertsen, 1983. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149057 on 2019-01-31;;
Protoperidinium achromaticum;;Protoperidinium achromaticum;110205;exact;urn:lsid:marinespecies.org:taxname:110205;10242;Protoperidinium achromaticum;(Levander, 1902) Balech, 1974;Checked by Taxonomic Editor;unaccepted;163858;Peridinium achromaticum;Levander, 1902;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;achromaticum;;0;0;1;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium achromaticum (Levander, 1902) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110205 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Protoperidinium bipes;;Protoperidinium bipes;110208;exact;urn:lsid:marinespecies.org:taxname:110208;10210;Protoperidinium bipes;(Paulsen, 1904) Balech, 1974;Checked by Taxonomic Editor;accepted;110208;Protoperidinium bipes;(Paulsen, 1904) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;bipes;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium bipes (Paulsen, 1904) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110208 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Pseudo-nitzschia delicatissima cf;;Pseudo-nitzschia delicatissima cf;149153;exact;urn:lsid:marinespecies.org:taxname:149153;584563;Pseudo-nitzschia delicatissima;(Cleve) Heiden, 1928;Checked by Taxonomic Editor;accepted;149153;Pseudo-nitzschia delicatissima;(Cleve) Heiden, 1928;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;delicatissima;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Pseudo-nitzschia delicatissima (Cleve) Heiden, 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149153 on 2019-01-31;;
Pseudo-nitzschia pungens cf;;Pseudo-nitzschia pungens cf;160528;exact;urn:lsid:marinespecies.org:taxname:160528;584566;Pseudo-nitzschia pungens;(Grunow ex Cleve) G.R.Hasle, 1993;Checked by Taxonomic Editor;accepted;160528;Pseudo-nitzschia pungens;(Grunow ex Cleve) G.R.Hasle, 1993;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;pungens;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Pseudo-nitzschia pungens (Grunow ex Cleve) G.R.Hasle, 1993. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160528 on 2019-01-31;;
Rhizosolenia delicatula;x;Guinardia delicatula;149112;exact;urn:lsid:marinespecies.org:taxname:149112;615883;Guinardia delicatula;(Cleve) Hasle, 1997;Edited by Database Management Team;alternate representation;149114;Rhizosolenia delicatula;Cleve, 1900;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Guinardia;;delicatula;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Guinardia delicatula (Cleve) Hasle, 1997. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149112 on 2019-01-31;;
Rhizosolenia setigera;;Rhizosolenia setigera;149115;exact;urn:lsid:marinespecies.org:taxname:149115;2902;Rhizosolenia setigera;Brightwell, 1858;Edited by Database Management Team;accepted;149115;Rhizosolenia setigera;Brightwell, 1858;Chromista;Ochrophyta;Bacillariophyceae;Rhizosoleniales;Rhizosoleniaceae;Rhizosolenia;;setigera;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Rhizosolenia setigera Brightwell, 1858. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149115 on 2019-01-31;;
Scenedesmus;;Scenedesmus;160602;exact;urn:lsid:marinespecies.org:taxname:160602;6104;Scenedesmus;Meyen, 1829;Checked by Taxonomic Editor;accepted;160602;Scenedesmus;Meyen, 1829;Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae;Scenedesmus;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scenedesmus Meyen, 1829. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=160602 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Actinocyclus normanii;;Actinocyclus normanii;148945;exact;urn:lsid:marinespecies.org:taxname:148945;2661;Actinocyclus normanii;(Gregory) Hustedt, 1957;Edited by Database Management Team;accepted;148945;Actinocyclus normanii;(Gregory) Hustedt, 1957;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Hemidiscaceae;Actinocyclus;;normanii;;1;0;1;;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Actinocyclus normanii (Gregory) Hustedt, 1957. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148945 on 2019-01-31;;
Chaetoceros subtilis;;Chaetoceros subtilis;156621;exact;urn:lsid:marinespecies.org:taxname:156621;2829;Chaetoceros subtilis;Cleve, 1896;Edited by Database Management Team;accepted;156621;Chaetoceros subtilis;Cleve, 1896;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;subtilis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros subtilis Cleve, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=156621 on 2019-01-31;;
