Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W07;3 m;PTOT;0.74;umol/l;Acceptable;2014-07-08T14:41:00Z;0.022920583879999998
W07;3 m;SLCA;2.08;umol/l;Acceptable;2014-07-08T14:41:00Z;0.05841784
W05;3 m;AMON;3.4;umol/l;Acceptable;2014-07-08T16:02:00Z;0.047622779999999997
W05;3 m;NTOT;13.9;umol/l;Acceptable;2014-07-08T16:02:00Z;0.19469313
W05;3 m;NTRI;0.127;umol/l;Acceptable;2014-07-08T16:02:00Z;0.0017788509
W05;3 m;NTRZ;0.56;umol/l;Acceptable;2014-07-08T16:02:00Z;0.007843752
W05;3 m;PHOS;0.41;umol/l;Acceptable;2014-07-08T16:02:00Z;0.01269924242
W05;3 m;PTOT;0.81;umol/l;Acceptable;2014-07-08T16:02:00Z;0.025088747220000002
W05;3 m;SLCA;4;umol/l;Acceptable;2014-07-08T16:02:00Z;0.112342
W03;3 m;AMON;1.5;umol/l;Acceptable;2014-07-08T18:18:00Z;0.02101005
W03;3 m;NTOT;12.9;umol/l;Acceptable;2014-07-08T18:18:00Z;0.18068643
W03;3 m;NTRI;0.06;umol/l;Acceptable;2014-07-08T18:18:00Z;8.40402e-4
W03;3 m;NTRZ;0.24;umol/l;Acceptable;2014-07-08T18:18:00Z;0.003361608
W03;3 m;PHOS;0.26;umol/l;Acceptable;2014-07-08T18:18:00Z;0.00805317812
W03;3 m;PTOT;0.66;umol/l;Acceptable;2014-07-08T18:18:00Z;0.020442682920000003
W03;3 m;SLCA;1.02;umol/l;Acceptable;2014-07-08T18:18:00Z;0.028647210000000003
W02;3 m;AMON;6.8;umol/l;Acceptable;2014-07-08T19:07:00Z;0.09524555999999999
